"Indicator ID","Indicator Name","Parent Code","Parent Name","Area Code","AreaName","Area Type","Sex","Age","Category Type","Category","Time period","Value","Lower CI 95.0 limit","Upper CI 95.0 limit","Lower CI 99.8 limit","Upper CI 99.8 limit","Count","Denominator","Value note","Recent Trend","Compared to England value or percentiles","Compared to parent value or percentiles","Time period Sortable","New data","Compared to goal","Time period range"
"91340","Breast screening uptake: aged 50 to 70 years old","","","E92000001","England","England","Female","50-70 yrs","","","2009/10","74.4529","74.3954","74.5103","","","1647176","2212374","","","","","20090000","","","1y"
"91340","Breast screening uptake: aged 50 to 70 years old","","","E92000001","England","England","Female","50-70 yrs","","","2010/11","74.5249","74.4683","74.5815","","","1695664","2275298","","","","","20100000","","","1y"
"91340","Breast screening uptake: aged 50 to 70 years old","","","E92000001","England","England","Female","50-70 yrs","","","2011/12","74.3385","74.2822","74.3947","","","1721618","2315918","","","","","20110000","","","1y"
"91340","Breast screening uptake: aged 50 to 70 years old","","","E92000001","England","England","Female","50-70 yrs","","","2012/13","73.2894","73.2325","73.3462","","","1706435","2328353","","","","","20120000","","","1y"
"91340","Breast screening uptake: aged 50 to 70 years old","","","E92000001","England","England","Female","50-70 yrs","","","2013/14","73.4586","73.4024","73.5147","","","1746380","2377366","","","","","20130000","","","1y"
"91340","Breast screening uptake: aged 50 to 70 years old","","","E92000001","England","England","Female","50-70 yrs","","","2014/15","72.6385","72.5824","72.6946","","","1764257","2428817","","","","","20140000","","","1y"
"91340","Breast screening uptake: aged 50 to 70 years old","","","E92000001","England","England","Female","50-70 yrs","","","2015/16","73.3527","73.2971","73.4082","","","1785167","2433675","","","","","20150000","","","1y"
"91340","Breast screening uptake: aged 50 to 70 years old","","","E92000001","England","England","Female","50-70 yrs","","","2016/17","72.1439","72.0891","72.1986","","","1856028","2572675","","","","","20160000","","","1y"
"91340","Breast screening uptake: aged 50 to 70 years old","","","E92000001","England","England","Female","50-70 yrs","","","2017/18","71.5864","71.5305","71.6422","","","1793871","2505882","","","","","20170000","","","1y"
"91340","Breast screening uptake: aged 50 to 70 years old","","","E92000001","England","England","Female","50-70 yrs","","","2018/19","72.2441","72.1885","72.2996","","","1803074","2495808","","","","","20180000","","","1y"
"91340","Breast screening uptake: aged 50 to 70 years old","","","E92000001","England","England","Female","50-70 yrs","","","2019/20","70.232","70.1759","70.2881","","","1794513","2555121","","","","","20190000","","","1y"
"91340","Breast screening uptake: aged 50 to 70 years old","","","E92000001","England","England","Female","50-70 yrs","","","2020/21","62.3096","62.2375","62.3817","","","1080763","1734504","","","","","20200000","","","1y"
"91340","Breast screening uptake: aged 50 to 70 years old","","","E92000001","England","England","Female","50-70 yrs","","","2021/22","63.1154","63.0616","63.1692","","","1948183","3086700","","","","","20210000","","","1y"
"91340","Breast screening uptake: aged 50 to 70 years old","","","E92000001","England","England","Female","50-70 yrs","","","2022/23","65.4437","65.389","65.4983","65.3575","65.5297","1905785","2912100","","","","","20220000","","","1y"
