,,Persons ,Male ,Female 
,,All aged 16+ ,All aged 16+ ,All aged 16+ 
Smoking & e-cigarette use ,,.,.,.
Smoking & e-cigarette use ,Smoker ,18.635683,20.365635,16.995553
,Ex-smoker ,29.408399,31.446207,27.429232
,Never smoked ,51.955918,48.188159,55.575215
,E-cigarette user ,6.599417,7.090371,6.134838
Alcohol ,,.,.,.
Alcohol ,Average weekly alcohol consumption - none (may include some people who do sometimes drink) ,20.180044,18.705297,21.588022
,"Average weekly alcohol consumption - some, up to 14 units (moderate drinkers) ",59.779005,54.463769,64.838737
,"Average weekly alcohol consumption - hazardous (over 14 units, up to 50 (m) / 35 (f)) ",17.289957,23.938207,10.955925
,Average weekly alcohol consumption - harmful (over 50 (m) / 35 (f) units) ,2.750994,2.892727,2.617316
,Average weekly alcohol consumption - above 14 units (over guidelines) ,20.043366,26.830934,13.573241
,Average annual alcohol consumption (units) - drinkers only (1),554.143792,684.694809,425.083905
Fruit & vegetables ,,.,.,.
Fruit & vegetables ,Ate no fruit & veg the previous day ,8.104497,9.348036,6.922218
,Ate some but less than 5 portions fruit & veg the previous day ,67.866249,67.746016,67.960955
,Ate at least 5 portions fruit & veg the previous day ,24.029254,22.905948,25.116826
Physical activity ,,.,.,.
Physical activity ,Active less than 30 minutes in previous week ,32.091135,30.414492,33.695128
,Active 30-149 minutes in previous week ,14.199899,12.516797,15.769494
,Active at least 150 minutes in previous week ,53.708966,57.068711,50.535378
Body mass index ,,.,.,.
Body mass index ,BMI under 18.5 (underweight) ,2.297477,1.644951,2.988548
,BMI 18.5 - under 25 (healthy weight) ,38.775906,33.724951,44.140433
,BMI 25 - under 30 (overweight but not obese) ,36.230001,40.95852,31.18804
,BMI 30+ (obese) ,22.696616,23.671577,21.682978
,BMI 25+ (overweight or obese) ,58.926617,64.630098,52.871018
Combined healthy lifestyles ,,.,.,.
Combined healthy lifestyles ,Fewer than 2 healthy behaviours ,10.294983,12.934909,7.511475
,2 or more healthy behaviours ,89.705017,87.065091,92.488525
