,,Persons ,Male ,Female 
,,All aged 16+ ,All aged 16+ ,All aged 16+ 
Smoking & e-cigarette use ,,.,.,.
Smoking & e-cigarette use ,Smoker ,17.051896,17.92019,16.238878
,Ex-smoker ,28.915091,30.712756,27.22604
,Never smoked ,54.033013,51.367054,56.535082
,E-cigarette user ,6.010555,6.333557,5.707812
Alcohol ,,.,.,.
Alcohol ,Average weekly alcohol consumption - none (may include some people who do sometimes drink) ,20.670849,18.006294,23.202931
,"Average weekly alcohol consumption - some, up to 14 units (moderate drinkers) ",60.92129,57.00325,64.599891
,"Average weekly alcohol consumption - hazardous (over 14 units, up to 50 (m) / 35 (f)) ",15.97757,22.150205,10.152499
,Average weekly alcohol consumption - harmful (over 50 (m) / 35 (f) units) ,2.430291,2.840251,2.044679
,Average weekly alcohol consumption - above 14 units (over guidelines) ,18.407861,24.990456,12.197178
,Average annual alcohol consumption (units) - drinkers only (1),531.729697,652.993447,409.761329
Fruit & vegetables ,,.,.,.
Fruit & vegetables ,Ate no fruit & veg the previous day ,8.08633,9.176379,7.057706
,Ate some but less than 5 portions fruit & veg the previous day ,68.293964,68.96629,67.709408
,Ate at least 5 portions fruit & veg the previous day ,23.619706,21.857331,25.232886
Physical activity ,,.,.,.
Physical activity ,Active less than 30 minutes in previous week ,33.173738,28.170459,37.884036
,Active 30-149 minutes in previous week ,14.261481,13.695785,14.813933
,Active at least 150 minutes in previous week ,52.56478,58.133756,47.30203
Body mass index ,,.,.,.
Body mass index ,BMI under 18.5 (underweight) ,1.709364,1.159666,2.283945
,BMI 18.5 - under 25 (healthy weight) ,38.809309,32.580852,45.321439
,BMI 25 - under 30 (overweight but not obese) ,36.195131,42.258147,29.853659
,BMI 30+ (obese) ,23.286196,24.001335,22.540956
,BMI 25+ (overweight or obese) ,59.481327,66.259482,52.394615
Combined healthy lifestyles ,,.,.,.
Combined healthy lifestyles ,Fewer than 2 healthy behaviours ,9.86684,11.568469,8.107389
,2 or more healthy behaviours ,90.13316,88.431531,91.892611
