Country,CancerSiteICD10Code,CancerSite,Sex,SexQF,Year,DeathsAgeUnder5,DeathsAge5To9,DeathsAge10To14,DeathsAge15To19,DeathsAge20To24,DeathsAge25To29,DeathsAge30To34,DeathsAge35To39,DeathsAge40To44,DeathsAge45To49,DeathsAge50To54,DeathsAge55To59,DeathsAge60To64,DeathsAge65To69,DeathsAge70To74,DeathsAge75To79,DeathsAge80To84,DeathsAge85To89,DeathsAge90AndOver,DeathsAllAges,MortalityRateAgeUnder5,MortalityRateAge5To9,MortalityRateAge10To14,MortalityRateAge15To19,MortalityRateAge20To24,MortalityRateAge25To29,MortalityRateAge30To34,MortalityRateAge35To39,MortalityRateAge40To44,MortalityRateAge45To49,MortalityRateAge50To54,MortalityRateAge55To59,MortalityRateAge60To64,MortalityRateAge65To69,MortalityRateAge70To74,MortalityRateAge75To79,MortalityRateAge80To84,MortalityRateAge85To89,MortalityRateAge90AndOver,CrudeRate,CrudeRateLower95pcConfidenceInterval,CrudeRateUpper95pcConfidenceInterval,EASR,EASRLower95pcConfidenceInterval,EASRLower95pcConfidenceIntervalQF,EASRUpper95pcConfidenceInterval,EASRUpper95pcConfidenceIntervalQF,WASR,WASRLower95pcConfidenceInterval,WASRLower95pcConfidenceIntervalQF,WASRUpper95pcConfidenceInterval,WASRUpper95pcConfidenceIntervalQF,StandardisedMortalityRatio,StandardisedMortalityRatioQF
S92000003,"C00-C97, excluding C44",All cancer types,All,d,1995,7,10,7,9,18,31,57,87,218,399,644,998,1559,2256,2731,2328,2026,1253,554,15192,2.19900353725426,3.08279461497437,2.18301799118684,2.92360617075809,5.03806538289297,7.78456346177026,13.9577935911689,23.2064978193894,64.9342912630613,113.76207474653,221.993946873126,362.201809557337,600.557798391322,938.658500559617,1294.79757824019,1605.36224088709,1906.73380076232,2240.42054821464,2350.34576386237,297.666982124698,292.952188572728,302.43864134888,401.50067046476,394.594511259389, ,408.465911625315, ,161.957770480251,159.177494506354, ,164.761784137503, ,100, 
S92000003,"C00-C97, excluding C44",All cancer types,All,d,1996,10,14,10,15,19,26,66,108,177,397,679,1019,1475,2179,2653,2441,2046,1240,546,15120,3.22494299913249,4.3271311120727,3.13315599670392,4.83174261629199,5.58089805461643,6.64241334205363,16.2310913933408,28.2624852145332,52.0871650751144,111.776514543617,228.922446199854,373.261440518097,570.129834990897,910.937944181535,1272.2512084708,1614.06571317107,1949.0354846392,2186.17771509168,2241.74741336837,296.92529147577,292.211105505978,301.696471911407,396.415252435416,389.600352334021, ,403.288421120254, ,159.756352174704,156.998053349668, ,162.538338024519, ,100, 
S92000003,"C00-C97, excluding C44",All cancer types,All,d,1997,4,12,6,11,14,25,56,115,196,339,645,1009,1425,2075,2575,2548,1994,1224,565,14838,1.3214185428057,3.70627750752838,1.87401028831648,3.48947131337356,4.34712406692087,6.59648011820892,13.8005815959387,29.5963063809637,56.4171646344974,99.662792851326,202.695058640152,369.310279197107,552.188604377209,864.911278859901,1249.72093610165,1608.52492961125,1955.03612993049,2122.60469955779,2259.3673771344,291.894699154493,287.216726429224,296.62976705134,387.154952625508,380.454812026304, ,393.912766383549, ,154.15584532568,151.471115167126, ,156.86383283402, ,100, 
S92000003,"C00-C97, excluding C44",All cancer types,All,d,1998,10,11,8,14,14,24,53,99,209,364,642,932,1453,2049,2555,2579,1846,1250,596,14708,3.37392161030531,3.42997549126604,2.4738391509784,4.39814523932193,4.52425810246152,6.60554700810005,13.1748703021023,25.1067034898318,58.8568258429339,108.91746808778,194.493589588231,337.143683982058,557.771371319112,854.586782891581,1241.98542672286,1567.75256378303,1887.25540311203,2129.79843587603,2284.66285889524,289.694646715527,285.031541988212,294.414917822048,378.87405784576,372.324236211528, ,385.480197934368, ,151.724291899358,149.064600274197, ,154.407176227684, ,100, 
S92000003,"C00-C97, excluding C44",All cancer types,All,d,1999,6,12,8,16,19,27,54,99,175,330,701,989,1376,1958,2550,2739,1819,1249,620,14747,2.06674910699216,3.76825247291569,2.46442752888771,5.03659400330526,6.18123377426134,7.80283676465488,13.6188585883296,24.8066832712749,48.19423101285,99.2284238316605,207.398290517371,352.244355720498,524.450203910508,820.245570967161,1239.60313255003,1609.62365717778,1927.88706121757,2115.47907386392,2288.24506366488,290.756020859827,286.081999504616,295.487266091857,378.655658439802,372.126979376752, ,385.240323933058, ,150.044470763547,147.418462602173, ,152.693340713107, ,100, 
S92000003,"C00-C97, excluding C44",All cancer types,All,d,2000,7,7,8,13,14,19,58,103,196,318,600,897,1442,1988,2531,2686,2002,1341,683,14913,2.47163795447243,2.23398076223424,2.47766999913282,4.08938772428719,4.52189079633727,5.75806432060902,14.9974271655121,25.5546348168254,52.7869346950208,95.3935132410996,173.479094323475,316.968970963946,547.797413727606,833.060954248695,1225.22679524045,1616.34883287098,1993.32901876836,2258.90676324434,2413.76873056262,294.552177193488,289.843452958434,299.318226253378,379.332847360761,372.862207684695, ,385.858379227353, ,148.488782172722,145.897270537822, ,151.102791626428, ,100, 
S92000003,"C00-C97, excluding C44",All cancer types,All,d,2001,7,11,9,10,17,20,42,81,202,342,663,1047,1453,1899,2499,2703,2096,1331,705,15137,2.53383575676625,3.59696938979049,2.78704211220632,3.14856504148234,5.39006642464212,6.35152515997904,11.0167690963889,20.0876914530593,53.3139080678195,101.121203519728,188.951872846504,360.86276185815,555.532190662624,793.021080412922,1206.20915348155,1632.08868708337,1974.95500758511,2240.40128600044,2399.18325676365,298.902097073575,294.15918103108,303.702322504022,381.401806474478,374.966185747886, ,387.891427305587, ,149.926283755445,147.324586353545, ,152.55043766095, ,100, 
S92000003,"C00-C97, excluding C44",All cancer types,All,d,2002,14,3,12,13,24,21,56,99,181,323,640,998,1477,1941,2471,2563,2182,1257,719,14994,5.18933665450879,.998864623877526,3.71523929237076,4.08042838220431,7.42629403173503,6.96776248556678,15.1092044734038,24.5839355155922,46.8686073550051,93.2997492749772,189.903090079344,319.925115724416,563.35771880173,810.09678590657,1181.10424404071,1559.13520616111,1949.15405642006,2165.37467700258,2423.32322210988,295.973154362416,291.254460774269,300.749137722162,373.299461126974,366.97903225776, ,379.673106303807, ,147.52096601452,144.940984332483, ,150.123392487204, ,100, 
S92000003,"C00-C97, excluding C44",All cancer types,All,d,2003,11,9,10,12,17,22,54,90,168,322,541,1017,1475,1941,2410,2661,2311,1230,762,15063,4.14900197643367,3.04309015661771,3.12467776760522,3.73922635406734,5.17519559195105,7.5039736951613,15.0592749795724,22.4807789340114,42.7621280267569,91.0551081350104,163.174944049996,313.898577116578,555.543000911467,801.340935269322,1146.44530599624,1616.85269688113,1988.62414057189,2218.21460775473,2552.16532136517,297.188517312814,292.461268583811,301.973027194437,372.067517213615,365.777119689511, ,378.410800415533, ,144.839646235292,142.309382673202, ,147.391897316109, ,100, 
S92000003,"C00-C97, excluding C44",All cancer types,All,d,2004,16,9,15,11,16,20,54,96,171,339,535,1027,1359,1969,2449,2567,2351,1223,770,14997,6.06692577495497,3.08206512061148,4.70374261120431,3.41032398077817,4.84678113148106,6.7786040142893,15.6568936722954,24.1924509472857,42.8451161578705,93.6252009213383,161.932781248487,308.59375,502.209871250979,804.764006735658,1163.46464473709,1551.10426296867,1952.39835237842,2263.80867762476,2552.62721697331,294.966858761285,290.264677035684,299.726124038874,366.454963876631,360.238125573295, ,372.724250891592, ,142.630886997957,140.128089406597, ,145.155531351576, ,100, 
S92000003,"C00-C97, excluding C44",All cancer types,All,d,2005,8,7,12,8,13,24,45,112,206,322,588,1039,1389,1933,2335,2626,2338,1336,746,15087,3.01325077026223,2.4299143281634,3.80401704199635,2.4784068800575,3.87288592563463,7.92607612996123,13.4704727237895,28.7153716974118,50.733168163213,86.8242805988179,177.183683431819,304.440316219431,507.948349442134,786.28376179629,1103.69015376035,1569.6541500795,1977.06670274658,2274.00384674303,2437.11205488402,295.233063285194,290.540641048896,299.982279290502,362.272404104961,356.187647129731, ,368.407980639866, ,141.016361421143,138.556377511041, ,143.497691604307, ,100, 
S92000003,"C00-C97, excluding C44",All cancer types,All,d,2006,11,7,11,14,19,26,40,95,170,329,567,1005,1357,1857,2371,2644,2322,1421,759,15025,4.10620896124112,2.4719609006413,3.54386010128996,4.30708268983467,5.61420926817305,8.32924879786515,12.4318965168934,24.5801961240912,41.6998834856197,86.8731730888562,168.457705825903,290.145448036538,483.696194590587,760.040764706605,1114.3278784062,1568.0506710474,1964.79945845321,2247.45757350499,2476.50743931088,292.713812585233,288.051880240757,297.432286749109,358.07826259102,352.053841658094, ,364.153084446946, ,138.021050051854,135.603501419972, ,140.459663013504, ,100, 
S92000003,"C00-C97, excluding C44",All cancer types,All,d,2007,12,4,10,10,19,20,47,82,171,354,554,923,1504,1863,2371,2607,2332,1493,826,15202,4.37466050811682,1.44387651968004,3.2583160371057,3.03701206604894,5.56240284092406,6.12493645378429,15.0842632621164,21.5914476802359,41.7960061594114,91.4617604580322,160.562025052313,277.1588663812,496.794289508193,758.569020415808,1108.61738439239,1519.18650388975,1972.07634607741,2233.02422973377,2767.26188482026,294.042553191489,289.386693571202,298.754549079065,357.119036506349,351.127970233549, ,363.160079838871, ,136.840047300522,134.462550735848, ,139.238090389266, ,100, 
