"Year","Gender","Age_at_Diagnosis","Geography_code","Geography_name","ICD10_code","Site_description","Count","Type_of_rate","Rate","LCI","UCI","Flag"
2001,"Persons","65 to 69, 70 to 74, 75 to 79, 80 to 84, 85 to 89, 90 and over","E92000001","England","C00","Malignant neoplasm of lip","162","Age-specific","2.1","1.8","2.4",NA
2001,"Persons","65 to 69, 70 to 74, 75 to 79, 80 to 84, 85 to 89, 90 and over","E92000001","England","C00-C14","Malignant neoplasm of lip, oral cavity and pharynx","1944","Age-specific","24.8","23.7","25.9",NA
2001,"Persons","65 to 69, 70 to 74, 75 to 79, 80 to 84, 85 to 89, 90 and over","E92000001","England","C00-C97","All malignant cancers","187272","Age-specific","2390","2379.2","2400.9",NA
2001,"Persons","65 to 69, 70 to 74, 75 to 79, 80 to 84, 85 to 89, 90 and over","E92000001","England","C00-C97 excl. C44","All maligant cancers excluding non-melanoma skin cancer (NMSC)","150512","Age-specific","1920.9","1911.2","1930.6",NA
2001,"Persons","65 to 69, 70 to 74, 75 to 79, 80 to 84, 85 to 89, 90 and over","E92000001","England","C00-C97, D00-D48","All registrations","200221","Age-specific","2555.3","2544.1","2566.5",NA
2001,"Persons","65 to 69, 70 to 74, 75 to 79, 80 to 84, 85 to 89, 90 and over","E92000001","England","C01","Malignant neoplasm of base of tongue","88","Age-specific","1.1","0.9","1.4",NA
2001,"Persons","65 to 69, 70 to 74, 75 to 79, 80 to 84, 85 to 89, 90 and over","E92000001","England","C02","Malignant neoplasm of other and unspecified parts of tongue","351","Age-specific","4.5","4","5",NA
2001,"Persons","65 to 69, 70 to 74, 75 to 79, 80 to 84, 85 to 89, 90 and over","E92000001","England","C03","Malignant neoplasm of gum","116","Age-specific","1.5","1.2","1.8",NA
2001,"Persons","65 to 69, 70 to 74, 75 to 79, 80 to 84, 85 to 89, 90 and over","E92000001","England","C04","Malignant neoplasm of floor of mouth","140","Age-specific","1.8","1.5","2.1",NA
2001,"Persons","65 to 69, 70 to 74, 75 to 79, 80 to 84, 85 to 89, 90 and over","E92000001","England","C05","Malignant neoplasm of palate","94","Age-specific","1.2","1","1.5",NA
2001,"Persons","65 to 69, 70 to 74, 75 to 79, 80 to 84, 85 to 89, 90 and over","E92000001","England","C06","Malignant neoplasm of other and unspecified parts of mouth","197","Age-specific","2.5","2.2","2.9",NA
2001,"Persons","65 to 69, 70 to 74, 75 to 79, 80 to 84, 85 to 89, 90 and over","E92000001","England","C07","Malignant neoplasm of parotid gland","205","Age-specific","2.6","2.3","3",NA
2001,"Persons","65 to 69, 70 to 74, 75 to 79, 80 to 84, 85 to 89, 90 and over","E92000001","England","C08","Malignant neoplasm of other and unspecified major salivary glands","63","Age-specific","0.8","0.6","1",NA
2001,"Persons","65 to 69, 70 to 74, 75 to 79, 80 to 84, 85 to 89, 90 and over","E92000001","England","C09","Malignant neoplasm of tonsil","139","Age-specific","1.8","1.5","2.1",NA
2001,"Persons","65 to 69, 70 to 74, 75 to 79, 80 to 84, 85 to 89, 90 and over","E92000001","England","C10","Malignant neoplasm of oropharynx","57","Age-specific","0.7","0.6","0.9",NA
2001,"Persons","65 to 69, 70 to 74, 75 to 79, 80 to 84, 85 to 89, 90 and over","E92000001","England","C11","Malignant neoplasm of nasopharynx","48","Age-specific","0.6","0.5","0.8",NA
2001,"Persons","65 to 69, 70 to 74, 75 to 79, 80 to 84, 85 to 89, 90 and over","E92000001","England","C12","Malignant neoplasm of piriform sinus","97","Age-specific","1.2","1","1.5",NA
2001,"Persons","65 to 69, 70 to 74, 75 to 79, 80 to 84, 85 to 89, 90 and over","E92000001","England","C13","Malignant neoplasm of hypopharynx","92","Age-specific","1.2","0.9","1.4",NA
2001,"Persons","65 to 69, 70 to 74, 75 to 79, 80 to 84, 85 to 89, 90 and over","E92000001","England","C14","Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx","95","Age-specific","1.2","1","1.5",NA
2001,"Persons","65 to 69, 70 to 74, 75 to 79, 80 to 84, 85 to 89, 90 and over","E92000001","England","C15","Malignant neoplasm of oesophagus","4410","Age-specific","56.3","54.6","58",NA
2001,"Persons","65 to 69, 70 to 74, 75 to 79, 80 to 84, 85 to 89, 90 and over","E92000001","England","C16","Malignant neoplasm of stomach","5833","Age-specific","74.4","72.5","76.4",NA
2001,"Persons","65 to 69, 70 to 74, 75 to 79, 80 to 84, 85 to 89, 90 and over","E92000001","England","C17","Malignant neoplasm of small intestine","394","Age-specific","5","4.5","5.6",NA
2001,"Persons","65 to 69, 70 to 74, 75 to 79, 80 to 84, 85 to 89, 90 and over","E92000001","England","C18","Malignant neoplasm of colon","13655","Age-specific","174.3","171.4","177.2",NA
2001,"Persons","65 to 69, 70 to 74, 75 to 79, 80 to 84, 85 to 89, 90 and over","E92000001","England","C18-C20","Malignant neoplasm of colon and rectum","20893","Age-specific","266.6","263","270.3",NA
2001,"Persons","65 to 69, 70 to 74, 75 to 79, 80 to 84, 85 to 89, 90 and over","E92000001","England","C19","Malignant neoplasm of rectosigmoid junction","1511","Age-specific","19.3","18.3","20.3",NA
2001,"Persons","65 to 69, 70 to 74, 75 to 79, 80 to 84, 85 to 89, 90 and over","E92000001","England","C20","Malignant neoplasm of rectum","5727","Age-specific","73.1","71.2","75",NA
2001,"Persons","65 to 69, 70 to 74, 75 to 79, 80 to 84, 85 to 89, 90 and over","E92000001","England","C21","Malignant neoplasm of anus and anal canal","376","Age-specific","4.8","4.3","5.3",NA
2001,"Persons","65 to 69, 70 to 74, 75 to 79, 80 to 84, 85 to 89, 90 and over","E92000001","England","C22","Malignant neoplasm of liver and intrahepatic bile ducts","1482","Age-specific","18.9","18","19.9",NA
2001,"Persons","65 to 69, 70 to 74, 75 to 79, 80 to 84, 85 to 89, 90 and over","E92000001","England","C23","Malignant neoplasm of gallbladder","319","Age-specific","4.1","3.6","4.5",NA
2001,"Persons","65 to 69, 70 to 74, 75 to 79, 80 to 84, 85 to 89, 90 and over","E92000001","England","C24","Malignant neoplasm of other and unspecified parts of biliary tract","468","Age-specific","6","5.4","6.5",NA
2001,"Persons","65 to 69, 70 to 74, 75 to 79, 80 to 84, 85 to 89, 90 and over","E92000001","England","C25","Malignant neoplasm of pancreas","4535","Age-specific","57.9","56.2","59.6",NA
2001,"Persons","65 to 69, 70 to 74, 75 to 79, 80 to 84, 85 to 89, 90 and over","E92000001","England","C26","Malignant neoplasm of other and ill-defined digestive organs","455","Age-specific","5.8","5.3","6.4",NA
2001,"Persons","65 to 69, 70 to 74, 75 to 79, 80 to 84, 85 to 89, 90 and over","E92000001","England","C30","Malignant neoplasm of nasal cavity and middle ear","106","Age-specific","1.4","1.1","1.6",NA
