"Year","Gender","Age_at_Diagnosis","Geography_code","Geography_name","ICD10_code","Site_description","Count","Type_of_rate","Rate","LCI","UCI","Flag"
2001,"Persons","50 to 54, 55 to 59, 60 to 64","E92000001","England","C00","Malignant neoplasm of lip","54","Age-specific","0.6","0.5","0.8",NA
2001,"Persons","50 to 54, 55 to 59, 60 to 64","E92000001","England","C00-C14","Malignant neoplasm of lip, oral cavity and pharynx","1619","Age-specific","18.8","17.9","19.8",NA
2001,"Persons","50 to 54, 55 to 59, 60 to 64","E92000001","England","C00-C97","All malignant cancers","68899","Age-specific","801.8","795.8","807.8",NA
2001,"Persons","50 to 54, 55 to 59, 60 to 64","E92000001","England","C00-C97 excl. C44","All maligant cancers excluding non-melanoma skin cancer (NMSC)","57364","Age-specific","667.6","662.1","673",NA
2001,"Persons","50 to 54, 55 to 59, 60 to 64","E92000001","England","C00-C97, D00-D48","All registrations","76211","Age-specific","886.9","880.6","893.2",NA
2001,"Persons","50 to 54, 55 to 59, 60 to 64","E92000001","England","C01","Malignant neoplasm of base of tongue","139","Age-specific","1.6","1.4","1.9",NA
2001,"Persons","50 to 54, 55 to 59, 60 to 64","E92000001","England","C02","Malignant neoplasm of other and unspecified parts of tongue","289","Age-specific","3.4","3","3.8",NA
2001,"Persons","50 to 54, 55 to 59, 60 to 64","E92000001","England","C03","Malignant neoplasm of gum","63","Age-specific","0.7","0.6","0.9",NA
2001,"Persons","50 to 54, 55 to 59, 60 to 64","E92000001","England","C04","Malignant neoplasm of floor of mouth","175","Age-specific","2","1.7","2.4",NA
2001,"Persons","50 to 54, 55 to 59, 60 to 64","E92000001","England","C05","Malignant neoplasm of palate","95","Age-specific","1.1","0.9","1.4",NA
2001,"Persons","50 to 54, 55 to 59, 60 to 64","E92000001","England","C06","Malignant neoplasm of other and unspecified parts of mouth","122","Age-specific","1.4","1.2","1.7",NA
2001,"Persons","50 to 54, 55 to 59, 60 to 64","E92000001","England","C07","Malignant neoplasm of parotid gland","81","Age-specific","0.9","0.7","1.2",NA
2001,"Persons","50 to 54, 55 to 59, 60 to 64","E92000001","England","C08","Malignant neoplasm of other and unspecified major salivary glands","27","Age-specific","0.3","0.2","0.5",NA
2001,"Persons","50 to 54, 55 to 59, 60 to 64","E92000001","England","C09","Malignant neoplasm of tonsil","222","Age-specific","2.6","2.3","2.9",NA
2001,"Persons","50 to 54, 55 to 59, 60 to 64","E92000001","England","C10","Malignant neoplasm of oropharynx","62","Age-specific","0.7","0.6","0.9",NA
2001,"Persons","50 to 54, 55 to 59, 60 to 64","E92000001","England","C11","Malignant neoplasm of nasopharynx","70","Age-specific","0.8","0.6","1",NA
2001,"Persons","50 to 54, 55 to 59, 60 to 64","E92000001","England","C12","Malignant neoplasm of piriform sinus","101","Age-specific","1.2","1","1.4",NA
2001,"Persons","50 to 54, 55 to 59, 60 to 64","E92000001","England","C13","Malignant neoplasm of hypopharynx","52","Age-specific","0.6","0.5","0.8",NA
2001,"Persons","50 to 54, 55 to 59, 60 to 64","E92000001","England","C14","Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx","67","Age-specific","0.8","0.6","1",NA
2001,"Persons","50 to 54, 55 to 59, 60 to 64","E92000001","England","C15","Malignant neoplasm of oesophagus","1456","Age-specific","16.9","16.1","17.8",NA
2001,"Persons","50 to 54, 55 to 59, 60 to 64","E92000001","England","C16","Malignant neoplasm of stomach","1297","Age-specific","15.1","14.3","15.9",NA
