"year","age_group","variable","sex","OralPAF","EndometriumPAF","PancreasPAF","GallbladderPAF","ColorectumPAF","LiverPAF","KidneyPAF","ThyroidPAF","MultipleMyelomaPAF","BreastPAF"
2009,"All","BMI","Men",0,0,0.0489043350257502,0.0995458624656485,0.177664860431892,0.233349854523555,0.255148851128126,0.0384645129017668,0.0969248149347359,0
2009,"All","BMI","Women",0,0.481973503813562,0.0495562098675499,0.214390217031836,0.161398659584592,0.223648668717831,0.28056698093954,0.0288200294250715,0.0861855899438423,0.0790224922348065
2009,"All","Fibre","Men",0,0,0,0,0.0700117772460207,0,0,0,0,0
2009,"All","Fibre","Women",0,0,0,0,0.0855404425215964,0,0,0,0,0
2009,"All","ProcessedMeat","Men",0,0,0,0,0.0678042498600321,0,0,0,0,0
2009,"All","ProcessedMeat","Women",0,0,0,0,0.0439971541235925,0,0,0,0,0
2009,"All","RedMeat","Men",0,0,0,0,0.0506332215125433,0,0,0,0,0
2009,"All","RedMeat","Women",0,0,0,0,0.035738281595408,0,0,0,0,0
2009,"All","Smoking","Men",0.406041186354933,0,0.16187485377061,0,0.0982383358348827,0.219057300682486,0,0,0,0
2009,"All","Smoking","Women",0.359120765644015,0,0.180619317648694,0,0.065725561418013,0.213498669152091,0,0,0,0
2009,"All","fibre_consumption_mean","Men",0,0,0,0,0,0,0,0,0,0
2009,"All","fibre_consumption_mean","Women",0,0,0,0,0,0,0,0,0,0
2009,"All","processed_meat_consumption_mean","Men",0,0,0,0,0,0,0,0,0,0
2009,"All","processed_meat_consumption_mean","Women",0,0,0,0,0,0,0,0,0,0
2009,"All","processedmeat_consumption_median","Men",0,0,0,0,0,0,0,0,0,0
2009,"All","processedmeat_consumption_median","Women",0,0,0,0,0,0,0,0,0,0
2009,"All","redmeat_consumption_mean","Men",0,0,0,0,0,0,0,0,0,0
2009,"All","redmeat_consumption_mean","Women",0,0,0,0,0,0,0,0,0,0
2009,"All","redmeat_consumption_median","Men",0,0,0,0,0,0,0,0,0,0
2009,"All","redmeat_consumption_median","Women",0,0,0,0,0,0,0,0,0,0
2009,"All","physical_activity_old","Men",0,0,0,0,0.0572631905164244,0,0,0,0,0.0195855403929131
2009,"All","physical_activity_old","Women",0,0,0,0,0.0664609575453316,0,0,0,0,0.0228782891875876
2009,"All","Alcohol","Men",0.392799792396623,0,0,0,0.0837346103264182,0.094819129939031,0,0,0,0.124973307662211
2009,"All","Alcohol","Women",0.240032687329739,0,0,0,0.0392466103716055,0.0348763218824408,0,0,0,0.073577103714683
